	logFC	logCPM	F	PValue	color
ATG9A	-5.68710447725805	5.45226838871998	168.688074922074	1.43160722126371e-06	blue
PTBP1	-3.92525314529182	7.30646822758506	165.498681732144	1.53795168016929e-06	blue
SET	3.80035943500674	11.1072041013193	158.378714760094	1.8135963620807e-06	red
SLC39A11	3.94483905095085	6.97433783175713	149.722731529753	2.23798559554207e-06	red
KCTD5	-8.98189014565597	3.87401954337389	147.564489176171	2.36271654537869e-06	blue
AEBP2	3.93593324285788	7.1145676436586	141.037792804185	2.7970284577588e-06	red
PLEC	-5.40574415510654	8.20538083810387	139.092193151311	2.94557041574524e-06	blue
CD276	-4.35246880847264	6.00753172371785	135.772576024514	3.22264654426351e-06	blue
NUDT19	3.60203593364124	9.04549480146222	133.570629628375	3.42463897526816e-06	red
PCBP4	-4.73325207840519	5.04855129480509	130.445595121172	3.73941869817636e-06	blue
HS1BP3	-7.35352955855254	3.72950520980972	126.053480285868	4.245924802428e-06	blue
HSF1	-3.95246579722989	6.90035706415376	123.968354136344	4.51652054355779e-06	blue
RAVER1	-8.29482112056764	3.79175412159969	123.327375129834	4.60402980193597e-06	blue
GPAA1	-4.09685862670318	6.70379926668805	122.502148386067	4.71985300909771e-06	blue
SORBS3	-4.34323418277325	5.48708343223475	121.902854034144	4.80626617982219e-06	blue
EAF1	3.30282190010197	7.14047279876542	120.871705168399	4.95965227019292e-06	red
CYB5R3	-3.09494012510959	8.15928763438665	120.519453402438	5.01345592110443e-06	blue
SP4	3.19565833212824	5.99165969213557	119.084114330351	5.24042152976263e-06	red
MIER1	3.18599058027834	9.12357899138155	118.494424286129	5.33740006243751e-06	red
SOX4	2.74007030113175	8.36112593500451	116.088988931963	5.75713955467063e-06	red
CHPF2	-5.33686674733129	4.34365176660778	114.639604281459	6.03015438934165e-06	blue
RAB11B	-3.31605129949549	6.11427966502808	113.375276947822	6.28170928616108e-06	blue
ANP32E	3.5718817445647	9.3985010397164	113.235671584979	6.31028715310021e-06	red
AP2A1	-4.41610204992873	5.75331118138852	108.780460849386	7.31461730845944e-06	blue
R3HDM2	3.26737847276024	6.62716395589032	106.918418846154	7.79354000210332e-06	red
SDF4	-3.12862051031136	6.66256249458751	106.680847123941	7.85744351660786e-06	blue
NKX3-1	3.494895711375	8.35224102572062	106.474242559782	7.91355306901723e-06	red
PARP10	-7.85061560224714	3.66749653336102	105.258528835648	8.25410811024563e-06	blue
SRSF6	3.43549341320306	9.5213275194966	103.913131637186	8.652733518489e-06	red
PTBP2	3.68224106677993	8.37702469258454	102.469583748827	9.10770907542749e-06	red
