	logFC	logCPM	F	PValue	color
mfge8b	3.73600816913823	6.15076073256876	123.869777334501	9.53440440126206e-06	red
cfd	3.51864481837775	9.83565478587272	120.636553729132	1.04242233481579e-05	red
march2	-7.91187134878006	4.03237819705632	98.4946822620711	2.05765806723426e-05	blue
tm9sf1	3.46831135587743	9.13623251733082	97.5766604903167	2.12290396719624e-05	red
rgs5a	4.0583873382791	9.16846958068123	91.4136758661509	2.63737516961698e-05	red
hipk2	-11.7710780915328	3.66926585128199	113.751088250542	3.61723106261796e-05	blue
fhdc3	3.79722451181775	6.90332466057818	81.8557230036272	3.80006145344669e-05	red
si:dkeyp-120h9.1	2.80811520786217	8.31334308527325	78.5083676006411	4.35958420414621e-05	red
mxd4	2.98090877284171	6.94344255058183	78.0027518417707	4.45307718603946e-05	red
lrba	2.39362744016953	8.14903262318648	76.5413982271835	4.73814837905928e-05	red
nlk1	2.5692408785272	6.97480603765902	75.9615784023752	4.85772656889594e-05	red
psma3	2.70390850494431	8.37686873727617	75.5234338586293	4.95066326535822e-05	red
wnt6b	-11.4681035318282	3.36822901424407	96.1960132032082	5.88110655950688e-05	blue
hlcs	-8.24064043776545	3.15773993469931	71.5032441038307	5.91982120354524e-05	blue
zdhhc21	3.13949052739612	8.01392175079873	71.3532368498475	5.96050408650628e-05	red
CU927890.1	-11.5760337191561	3.47566002130747	95.638759761823	5.9805853224031e-05	blue
ago/04	-7.681496264499	3.50526551696959	70.2347882857597	6.27542403602922e-05	blue
mtg1	2.73928389257839	5.34631050443487	69.2284251285745	6.57724159935911e-05	red
trim35-28	2.28374568634356	8.1567828749926	68.5033154694436	6.80632138856295e-05	red
rgs5b	2.86611891309111	5.64777121753589	67.722965688897	7.06441078197909e-05	red
npm1b	2.70727440568285	5.71625104143796	67.5157747055116	7.13503637531686e-05	red
ehd1a	-2.78889629077041	5.88145223813386	65.7974324653314	7.75713637916176e-05	blue
pole3	2.68912855259058	5.07602016448924	65.6564756303609	7.81120308743114e-05	red
top1l	2.45264685258804	8.00297924339771	65.4108214160817	7.9065886985512e-05	red
si:ch211-183d21.1	-4.29858560681914	4.36928867539595	64.8419457982739	8.13328094239422e-05	blue
FO704772.3	-10.9595234280197	9.92279210969702	64.2406529716447	8.3820323282194e-05	blue
si:ch73-376l24.2	4.20445373637399	5.40907007336329	64.2361293074268	8.38394044941958e-05	red
zfand5b	2.21979384444232	8.28627131753331	63.8310670083484	8.55708111933934e-05	red
psmc6	2.49362393976218	8.00594922748345	63.7722431338936	8.58260488074942e-05	red
plk3	2.75768333298652	8.15052674154351	63.0980172853269	8.88224496211652e-05	red
pbx4	3.74051176710524	9.73714416590479	62.4116024429335	9.2012228502849e-05	red
CT583728.27	-16.1789924830225	8.06812227642153	81.1184821464592	9.5995482601408e-05	blue
etv2	2.86457516267998	5.97346029964687	61.550452977706	9.62248542105493e-05	red
sbds	2.36588455437123	6.65664864068974	61.02658721788	9.89089503104495e-05	red
fnbp4	3.02206253710692	7.33246001715377	60.566418990091	0.000101346370527063	red
tubb2b	2.2352688043018	9.0956206948496	60.2256015758018	0.000103201438559713	red
ddost	2.22987332762352	8.84060095709698	59.4630291009199	0.000107512525928803	red
flna	2.77440738602347	9.2028432526096	59.3823065348133	0.00010798229221689	red
ctnnd1	2.92961064626563	8.74359072827843	58.2714782183657	0.000114722407064836	red
sik3	-7.23766928407663	3.85003550942181	57.8920928593592	0.000117147511893029	blue
scap	-11.1964398547824	3.09959079928897	74.3859078882484	0.000122907420758216	blue
fam102ab	-2.79117598381397	5.80221541216396	56.9870275041326	0.000123204058246847	blue
chchd1	2.43647803235811	5.99737348010842	56.7129470118014	0.000125117039054678	red
si:ch211-71n6.4	-7.51096432204387	2.53321134296192	56.5971616219247	0.000125936618598013	blue
cnbpb	2.13145446323468	8.77278644081074	56.486905891366	0.000126723466379211	red
ppp2r5ea	2.57586144361685	7.66508652486454	56.0865928967603	0.000129633875336229	red
