pathway	pval	padj	log2err	ES	NES	size
MIR101_3P	1.84838216063559e-08	0.000382079076424983	0.73376198835648	-0.549702478524903	-1.43217030409948	388
GSE43863_TH1_VS_TFH_EFFECTOR_CD4_TCELL_DN	8.84355197064735e-08	0.000643112583570534	0.704975715167238	-0.614740558859017	-1.5776262349219	169
ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_24HR	9.33354821107639e-08	0.000643112583570534	0.704975715167238	0.435700825992886	2.14982946806725	117
MANNO_MIDBRAIN_NEUROTYPES_HNBGABA	1.96902320620786e-07	0.000963985251134752	0.690132458796796	-0.528256075972284	-1.37995027500126	443
MIR144_3P	2.33173346992103e-07	0.000963985251134752	0.690132458796796	-0.536435010871777	-1.39897236818462	404
GO_RECEPTOR_COMPLEX	4.68649579937229e-07	0.00161457591114708	0.674962860011025	-0.558616571198346	-1.44382809643925	261
GNF2_RRM1	1.01442222846299e-06	0.0029955888406512	0.643551836150722	0.454314628712425	2.19040686817875	87
GO_DNA_BINDING_TRANSCRIPTION_ACTIVATOR_ACTIVITY	1.25301541099869e-06	0.00323763519509425	0.643551836150722	-0.540163944823706	-1.40315365402554	344
MANNO_MIDBRAIN_NEUROTYPES_HDA	1.92789397582658e-06	0.00362286330675556	0.627256739718528	-0.537202877650556	-1.39343016019378	316
MANNO_MIDBRAIN_NEUROTYPES_HDA1	1.7889505668544e-06	0.00362286330675556	0.643551836150722	-0.535661504385042	-1.39369206065174	368
ZHONG_PFC_C3_MICROGLIA	1.92789397582658e-06	0.00362286330675556	0.627256739718528	-0.5331968340645	-1.38383028748711	334
ZHONG_PFC_C3_ASTROCYTE	2.41419774278788e-06	0.00415865679509735	0.627256739718528	-0.554932665116514	-1.43478509427855	265
MORI_LARGE_PRE_BII_LYMPHOCYTE_UP	3.07479239141496e-06	0.00488915642484143	0.627256739718528	0.462688686411455	2.23103243944465	82
MIR6825_5P	3.87482837807032e-06	0.00572118410022082	0.610526878385931	-0.533131898817146	-1.38242179370531	319
GSE37532_VISCERAL_ADIPOSE_TISSUE_VS_LN_DERIVED_PPARG_KO_TREG_CD4_TCELL_DN	5.13149964064486e-06	0.00707154860478466	0.610526878385931	-0.63474052463973	-1.61549317919547	103
MANNO_MIDBRAIN_NEUROTYPES_HNBML5	6.31836052065256e-06	0.00725593501791162	0.610526878385931	-0.535338115760119	-1.38746599428607	304
